episode,return_sum,return_mean,reward_a0,reward_a1,reward_a2,steps,msgs_per_ep,msg_entropy_ep,seed,K_vocab
1,-161.06252812409767,-53.687509374699225,-54.187509374699225,-52.687509374699225,-54.187509374699225,50,0,0.0,1,4
2,-180.19503894926729,-60.06501298308908,-60.56501298308908,-59.06501298308908,-60.56501298308908,50,0,0.0,1,4
3,-81.93962183411125,-27.313207278037083,-27.813207278037083,-26.31320727803708,-27.813207278037083,50,0,0.0,1,4
4,-143.6487974954846,-47.88293249849486,-47.88293249849486,-47.88293249849486,-47.88293249849486,50,0,0.0,1,4
5,-127.60499571140303,-42.53499857046768,-42.53499857046768,-42.53499857046768,-42.53499857046768,50,0,0.0,1,4
6,-164.89055727975682,-54.96351909325227,-54.96351909325227,-54.96351909325227,-54.96351909325227,50,0,0.0,1,4
7,-237.0791254000215,-79.0263751333405,-79.69304180000717,-79.69304180000717,-77.69304180000717,50,0,0.0,1,4
8,-204.46672096417348,-68.15557365472449,-67.48890698805782,-68.48890698805782,-68.48890698805782,50,0,0.0,1,4
9,-246.36222304476848,-82.12074101492283,-82.2874076815895,-82.2874076815895,-81.7874076815895,50,0,0.0,1,4
10,-184.58109120554624,-61.52703040184874,-61.52703040184874,-61.52703040184874,-61.52703040184874,50,0,0.0,1,4
11,-186.4322761170892,-62.144092039029736,-61.47742537236307,-62.47742537236307,-62.47742537236307,50,0,0.0,1,4
12,-160.77788376310747,-53.59262792103582,-53.59262792103582,-53.59262792103582,-53.59262792103582,50,0,0.0,1,4
13,-97.9802323648562,-32.66007745495207,-32.66007745495207,-32.66007745495207,-32.66007745495207,50,0,0.0,1,4
14,-94.2363834014972,-31.412127800499064,-30.412127800499064,-31.91212780049906,-31.91212780049906,50,0,0.0,1,4
15,-160.88051437275763,-53.626838124252544,-53.626838124252544,-53.626838124252544,-53.626838124252544,50,0,0.0,1,4
16,-97.11722484959311,-32.37240828319771,-31.705741616531043,-32.70574161653104,-32.70574161653104,50,0,0.0,1,4
17,-85.87486463958383,-28.62495487986128,-28.62495487986128,-28.62495487986128,-28.62495487986128,50,0,0.0,1,4
18,-151.5594557100526,-50.51981857001753,-50.51981857001753,-50.51981857001753,-50.51981857001753,50,0,0.0,1,4
19,-162.20314011871926,-54.06771337290642,-54.90104670623976,-54.90104670623976,-52.40104670623976,50,0,0.0,1,4
20,-152.0602966396657,-50.68676554655523,-50.68676554655523,-50.68676554655523,-50.68676554655523,50,0,0.0,1,4
21,-131.08625095459604,-43.69541698486535,-43.69541698486535,-43.69541698486535,-43.69541698486535,50,0,0.0,1,4
22,-100.13701971159584,-33.37900657053195,-33.71233990386528,-32.712339903865285,-33.71233990386528,50,0,0.0,1,4
23,-170.97782305356134,-56.99260768452044,-56.65927435118711,-57.15927435118711,-57.15927435118711,50,0,0.0,1,4
24,-237.56182646475636,-79.18727548825211,-79.18727548825211,-79.18727548825211,-79.18727548825211,50,0,0.0,1,4
25,-57.391476813754224,-19.13049227125141,-19.13049227125141,-19.13049227125141,-19.13049227125141,50,0,0.0,1,4
26,-174.23319268001444,-58.07773089333815,-58.07773089333815,-58.07773089333815,-58.07773089333815,50,0,0.0,1,4
