episode,return_sum,return_mean,reward_a0,reward_a1,reward_a2,steps,msgs_per_ep,msg_entropy_ep,pct_comm_on,avg_pair_dist
1,-490.9355318898155,-163.64517729660517,-164.14517729660517,-162.64517729660517,-164.14517729660517,100,0,1.3862912130355836,0.0,2.1873654292523863
2,-201.23577693833553,-67.07859231277851,-66.07859231277851,-67.57859231277851,-67.57859231277851,100,0,1.3862918889522553,0.0,1.3107221980889636
3,-416.6948835890588,-138.89829452968627,-139.56496119635293,-137.56496119635295,-139.56496119635293,100,0,1.3862898325920106,0.0,1.8600398382544518
4,-904.6407342310288,-301.54691141034294,-301.7135780770096,-301.2135780770096,-301.7135780770096,100,0,1.386286300420761,0.0,3.2986196882774435
5,-449.8688173360438,-149.95627244534793,-149.95627244534793,-149.95627244534793,-149.95627244534793,100,0,1.3862893676757813,0.0,1.4232540195186931
6,-431.9709958533002,-143.99033195110007,-143.82366528443342,-144.82366528443342,-143.32366528443342,100,0,1.3862857949733733,0.0,2.483237240314484
7,-420.91157190878164,-140.3038573029272,-140.47052396959387,-140.47052396959387,-139.97052396959387,100,0,1.3862877357006074,0.0,3.4061727277934546
8,-356.9384156075106,-118.9794718691702,-119.81280520250353,-119.81280520250353,-117.31280520250353,100,0,1.386290612220764,0.0,1.3252546141048271
9,-598.7594571769403,-199.58648572564675,-200.08648572564675,-198.58648572564675,-200.08648572564675,100,0,1.3862885320186615,0.0,2.020224012136459
10,-308.8447295909036,-102.94824319696788,-102.94824319696787,-102.94824319696787,-102.94824319696787,100,0,1.3862904369831086,0.0,1.639216040869554
11,-443.0352494106512,-147.67841647021706,-147.5117498035504,-147.5117498035504,-148.0117498035504,100,0,1.3862907099723816,0.0,1.4054226235548652
12,-513.3013262395591,-171.10044207985302,-170.7671087465197,-171.2671087465197,-171.2671087465197,100,0,1.386288857460022,0.0,1.2533295877774555
13,-276.6670445666027,-92.22234818886757,-92.5556815222009,-91.5556815222009,-92.5556815222009,100,0,1.3862918055057525,0.0,1.731510970989863
14,-291.600782205603,-97.20026073520101,-97.70026073520101,-96.200260735201,-97.70026073520101,100,0,1.3862910711765288,0.0,1.6566261331240342
15,-254.83216620133004,-84.94405540044335,-84.94405540044335,-84.94405540044335,-84.94405540044335,100,0,1.3862903940677642,0.0,1.570798398454984
16,-453.59562499607136,-151.1985416653571,-151.1985416653571,-151.1985416653571,-151.1985416653571,100,0,1.386288937330246,0.0,1.9441898044943806
17,-394.3416289071261,-131.4472096357087,-131.4472096357087,-131.4472096357087,-131.4472096357087,100,0,1.3862889218330383,0.0,1.634155516723792
18,-361.244638577098,-120.41487952569933,-120.41487952569933,-120.41487952569933,-120.41487952569933,100,0,1.38628781914711,0.0,2.575911652247111
19,-265.5338102317364,-88.51127007724547,-88.01127007724547,-88.01127007724547,-89.51127007724547,100,0,1.3862929880619048,0.0,1.024439295530319
20,-198.2564175309091,-66.08547251030302,-66.58547251030303,-65.08547251030302,-66.58547251030303,100,0,1.3862899076938628,0.0,1.4477680853754282
21,-233.22240935462708,-77.74080311820903,-77.74080311820903,-77.74080311820903,-77.74080311820903,100,0,1.3862905776500702,0.0,1.7506743830442428
22,-214.3314954904135,-71.44383183013782,-71.44383183013782,-71.44383183013782,-71.44383183013782,100,0,1.3862917602062226,0.0,1.596402516365051
23,-244.80430015730786,-81.60143338576928,-81.60143338576928,-81.60143338576928,-81.60143338576928,100,0,1.386291003227234,0.0,1.4702846296628318
24,-323.28302279123784,-107.76100759707928,-108.09434093041261,-107.09434093041261,-108.09434093041261,100,0,1.3862906396389008,0.0,1.9716873315970103
25,-313.93371413594787,-104.64457137864929,-103.64457137864927,-105.1445713786493,-105.1445713786493,100,0,1.3862901294231416,0.0,1.4620019886891047
26,-517.2014140499072,-172.40047134996905,-171.90047134996905,-171.90047134996905,-173.40047134996905,100,0,1.3862890553474427,0.0,2.507851805264751
27,-233.27557913992604,-77.75852637997535,-78.42519304664201,-77.92519304664201,-76.92519304664201,100,0,1.3862918305397034,0.0,1.4790555083254975
28,-428.00115003150813,-142.66705001050272,-143.16705001050272,-143.16705001050272,-141.66705001050272,100,0,1.3862879467010498,0.0,1.6528476112584272
29,-274.76949685126556,-91.58983228375519,-92.08983228375519,-92.08983228375519,-90.58983228375519,100,0,1.3862882256507874,0.0,1.7500013990700245
30,-349.01169374637146,-116.33723124879049,-116.33723124879049,-116.33723124879049,-116.33723124879049,100,0,1.3862929558753967,0.0,1.2686158510049184
31,-277.9973750941202,-92.66579169804005,-92.66579169804005,-92.66579169804005,-92.66579169804005,100,0,1.3862891340255736,0.0,2.0561350021759672
32,-416.80313649446646,-138.93437883148883,-139.43437883148883,-139.43437883148883,-137.9343788314888,100,0,1.3862910199165344,0.0,1.3229588910937309
33,-335.4320290619222,-111.81067635397407,-111.81067635397407,-111.81067635397407,-111.81067635397407,100,0,1.386291869878769,0.0,1.7413519072532653
34,-377.4520505683009,-125.81735018943363,-125.81735018943363,-125.81735018943363,-125.81735018943363,100,0,1.3862895464897156,0.0,2.3260977613925933
35,-359.8983187167951,-119.96610623893169,-119.46610623893169,-119.46610623893169,-120.96610623893169,100,0,1.3862927055358887,0.0,1.8486985759437082
36,-362.7006981601156,-120.90023272003855,-121.0668993867052,-121.0668993867052,-120.5668993867052,100,0,1.3862917923927307,0.0,1.40208128263553
37,-376.0060775149707,-125.33535917165689,-125.50202583832356,-125.50202583832356,-125.00202583832356,100,0,1.3862861621379852,0.0,3.068206666956345
38,-248.07497583266127,-82.69165861088709,-82.69165861088709,-82.69165861088709,-82.69165861088709,100,0,1.3862921762466431,0.0,1.6105211772521337
39,-170.04742679045353,-56.682475596817845,-56.682475596817845,-56.682475596817845,-56.682475596817845,100,0,1.3862921333312987,0.0,1.4657414164145788
40,-644.8782153981248,-214.95940513270827,-212.95940513270827,-215.95940513270827,-215.95940513270827,100,0,1.3862914717197419,0.0,1.4370564598838487
41,-208.642935761629,-69.54764525387634,-68.54764525387634,-70.04764525387633,-70.04764525387633,100,0,1.3862917721271515,0.0,1.3121354060371717
42,-367.0223020068264,-122.3407673356088,-122.50743400227546,-122.50743400227546,-122.00743400227546,100,0,1.3862886118888855,0.0,2.790711215287447
43,-295.12208883877565,-98.37402961292521,-98.87402961292521,-98.87402961292521,-97.37402961292521,100,0,1.3862898969650268,0.0,1.7791477351884046
44,-306.97908160226905,-102.32636053408969,-102.82636053408969,-102.82636053408969,-101.32636053408966,100,0,1.3862908446788789,0.0,1.423934954603513
45,-405.52718491291006,-135.17572830430336,-135.84239497097002,-135.84239497097002,-133.84239497097002,100,0,1.386291446685791,0.0,1.4245958607892197
46,-538.5654864850325,-179.52182882834416,-180.02182882834416,-180.02182882834416,-178.52182882834416,100,0,1.3862913846969604,0.0,2.0604117712378502
47,-279.4391250762679,-93.14637502542263,-93.64637502542263,-92.14637502542263,-93.64637502542263,100,0,1.3862903881072999,0.0,1.6826574175556501
48,-269.11644527201776,-89.70548175733926,-89.0388150906726,-90.03881509067259,-90.03881509067259,100,0,1.3862904286384583,0.0,1.4137233187258245
49,-190.96486087949705,-63.654953626499015,-62.65495362649902,-64.15495362649902,-64.15495362649902,100,0,1.3862920439243316,0.0,1.3293613950411478
50,-506.95726547749223,-168.98575515916409,-168.98575515916409,-168.98575515916409,-168.98575515916409,100,0,1.3862889194488526,0.0,2.234338044921557
51,-286.1927101051266,-95.3975700350422,-95.39757003504221,-95.39757003504221,-95.39757003504221,100,0,1.3862914371490478,0.0,1.0963105267286302
52,-264.1679987206704,-88.0559995735568,-85.72266624022349,-89.22266624022348,-89.22266624022348,100,0,1.3862876546382905,0.0,1.694702770859003
53,-229.75985911152915,-76.58661970384306,-75.91995303717638,-76.91995303717638,-76.91995303717638,100,0,1.3862916922569275,0.0,1.0513529355327287
54,-359.51082412073106,-119.83694137357702,-118.83694137357702,-119.83694137357703,-120.83694137357703,100,0,1.3862879037857057,0.0,1.5380517777800562
55,-441.3498455555143,-147.11661518517144,-147.11661518517144,-146.11661518517144,-148.11661518517147,100,0,1.3862899005413056,0.0,2.4153713072339693
56,-433.25655720401835,-144.41885240133945,-144.0855190680061,-144.5855190680061,-144.5855190680061,100,0,1.3862889420986175,0.0,2.2715939296782017
57,-430.38672214979977,-143.46224071659992,-143.62890738326658,-143.12890738326658,-143.62890738326658,100,0,1.3862905085086823,0.0,2.3574470422665277
58,-298.3202983061852,-99.44009943539506,-100.60676610206173,-98.10676610206173,-99.60676610206173,100,0,1.3862900626659393,0.0,1.4093239660561085
59,-161.4281606205045,-53.8093868735015,-53.8093868735015,-53.8093868735015,-53.8093868735015,100,0,1.3862925457954407,0.0,1.1136096597711245
60,-485.28163077676436,-161.76054359225478,-160.76054359225478,-162.26054359225478,-162.26054359225478,100,0,1.3862874507904053,0.0,2.2342927724123003
61,-355.9878839107801,-118.66262797026003,-118.66262797026003,-118.66262797026003,-118.66262797026003,100,0,1.3862909400463104,0.0,2.514814536968867
62,-325.47232799798064,-108.49077599932689,-108.49077599932687,-108.49077599932687,-108.49077599932687,100,0,1.386292326450348,0.0,1.7213879863421122
63,-349.7749838066148,-116.59166126887159,-115.59166126887159,-117.09166126887159,-117.09166126887159,100,0,1.3862889921665191,0.0,1.5310720521708328
64,-524.8483424037164,-174.94944746790543,-175.11611413457211,-174.61611413457214,-175.11611413457211,100,0,1.3862874257564544,0.0,2.396823220948378
65,-282.3159603881492,-94.10532012938307,-94.4386534627164,-93.4386534627164,-94.4386534627164,100,0,1.3862909948825837,0.0,1.3222975174585978
66,-467.86561115442805,-155.95520371814268,-154.95520371814268,-156.45520371814268,-156.45520371814268,100,0,1.3862883651256561,0.0,2.0059144249558454
67,-267.29606445258867,-89.09868815086288,-88.43202148419621,-89.43202148419621,-89.43202148419621,100,0,1.386292417049408,0.0,1.312256895005703
68,-300.1574942542872,-100.0524980847624,-100.0524980847624,-100.0524980847624,-100.0524980847624,100,0,1.3862910950183869,0.0,0.9798189677794774
69,-262.0722569934936,-87.3574189978312,-87.69075233116453,-87.69075233116453,-86.69075233116453,100,0,1.3862899911403657,0.0,1.72255994985501
70,-346.8875874937288,-115.62919583124294,-115.62919583124292,-115.62919583124292,-115.62919583124292,100,0,1.3862887918949127,0.0,1.8727110970020293
71,-369.71851721443846,-123.23950573814615,-123.57283907147949,-123.57283907147949,-122.57283907147949,100,0,1.386288549900055,0.0,1.7230265527963635
72,-292.1904357088325,-97.39681190294418,-98.06347856961085,-97.56347856961085,-96.56347856961085,100,0,1.3862920439243316,0.0,1.4424897410348059
73,-352.85132579150076,-117.61710859716692,-118.11710859716692,-118.11710859716692,-116.61710859716692,100,0,1.3862899911403657,0.0,1.5757656649748484
74,-308.28916309689004,-102.76305436563001,-101.76305436563001,-103.26305436563001,-103.26305436563001,100,0,1.3862922632694243,0.0,1.5104564032455283
75,-215.9120618741763,-71.9706872913921,-71.63735395805877,-72.13735395805877,-72.13735395805877,100,0,1.3862915325164795,0.0,1.3259456794460616
76,-400.86863974497567,-133.6228799149919,-133.6228799149919,-133.6228799149919,-133.6228799149919,100,0,1.386287876367569,0.0,1.6987233712275822
77,-342.1088579790081,-114.0362859930027,-113.70295265966936,-114.20295265966936,-114.20295265966936,100,0,1.3862910020351409,0.0,1.197021018664042
78,-401.591136388684,-133.86371212956132,-132.53037879622798,-134.530378796228,-134.530378796228,100,0,1.3862913179397582,0.0,1.556773128906886
79,-283.30286380719883,-94.43428793573294,-95.43428793573294,-93.93428793573294,-93.93428793573294,100,0,1.3862910521030427,0.0,1.2830421969294548
80,-432.83581205487974,-144.27860401829324,-144.77860401829327,-143.2786040182932,-144.77860401829327,100,0,1.3862898564338684,0.0,1.3800293524563312
81,-455.17243505697576,-151.7241450189919,-150.05747835232523,-152.55747835232526,-152.55747835232526,100,0,1.3862924289703369,0.0,1.4873756856719655
82,-348.46548201624665,-116.15516067208222,-117.15516067208222,-115.65516067208222,-115.65516067208222,100,0,1.3862906217575073,0.0,1.7766146828730895
83,-234.692371387427,-78.23079046247567,-78.23079046247567,-78.23079046247567,-78.23079046247567,100,0,1.3862900853157043,0.0,1.576716269652049
84,-716.7348776689666,-238.91162588965554,-239.07829255632222,-239.07829255632222,-238.57829255632222,100,0,1.386285103559494,0.0,2.5679252515236537
85,-419.3530337849651,-139.78434459498837,-138.78434459498837,-140.28434459498837,-140.28434459498837,100,0,1.3862931537628174,0.0,1.4520805629591147
86,-370.3053334155592,-123.43511113851973,-123.93511113851972,-123.93511113851972,-122.43511113851972,100,0,1.3862918829917907,0.0,1.3290157245596248
87,-399.5982890610294,-133.1994296870098,-132.53276302034314,-133.53276302034314,-133.53276302034314,100,0,1.386290510892868,0.0,1.7095376468698182
88,-351.3981676392043,-117.13272254640144,-117.13272254640144,-117.13272254640144,-117.13272254640144,100,0,1.3862928414344788,0.0,1.348494508266449
89,-282.39326015575756,-94.13108671858585,-94.13108671858585,-94.13108671858585,-94.13108671858585,100,0,1.3862898063659668,0.0,1.8017794489860537
90,-296.3784316575573,-98.7928105525191,-99.2928105525191,-99.2928105525191,-97.7928105525191,100,0,1.386292246580124,0.0,1.4933071452379227
91,-331.2113270733605,-110.40377569112017,-110.40377569112017,-110.40377569112017,-110.40377569112017,100,0,1.3862909066677094,0.0,1.0842243688305218
92,-248.26487038010282,-82.75495679336761,-82.75495679336761,-82.75495679336761,-82.75495679336761,100,0,1.386291674375534,0.0,1.3132954670985542
93,-282.53802682308,-94.17934227436,-94.17934227436,-94.17934227436,-94.17934227436,100,0,1.3862915062904357,0.0,1.1980321598052979
94,-262.42843731506713,-87.47614577168905,-87.47614577168905,-87.47614577168905,-87.47614577168905,100,0,1.3862902235984802,0.0,1.9239072477817536
95,-289.4301598306378,-96.47671994354594,-96.47671994354594,-96.47671994354594,-96.47671994354594,100,0,1.3862908577919006,0.0,1.7128140349189442
