episode,return_sum,return_mean,reward_a0,reward_a1,reward_a2,steps,msgs_per_ep,msg_entropy_ep,seed,K_vocab
1,-117.7077141094555,-39.23590470315183,-39.23590470315183,-39.23590470315183,-39.23590470315183,50,150,nan,1,4
2,-177.4103440884865,-59.136781362828835,-59.136781362828835,-59.136781362828835,-59.136781362828835,50,150,nan,1,4
3,-49.453582488662995,-16.484527496221,-16.484527496221,-16.484527496221,-16.484527496221,50,150,nan,1,4
4,-153.80232954433626,-51.26744318144542,-51.26744318144542,-51.26744318144542,-51.26744318144542,50,150,nan,1,4
5,-145.59032680055344,-48.530108933517816,-48.53010893351781,-48.53010893351781,-48.53010893351781,50,150,nan,1,4
6,-152.82222796601556,-50.94074265533852,-50.94074265533852,-50.94074265533852,-50.94074265533852,50,150,nan,1,4
7,-201.6728803837304,-67.22429346124346,-67.22429346124346,-67.22429346124346,-67.22429346124346,50,150,nan,1,4
8,-188.7529362160958,-62.91764540536527,-62.91764540536526,-62.91764540536526,-62.91764540536526,50,150,nan,1,4
9,-261.2991345461463,-87.09971151538211,-87.26637818204878,-87.26637818204878,-86.76637818204878,50,150,nan,1,4
10,-195.28894028796518,-65.09631342932173,-65.09631342932173,-65.09631342932173,-65.09631342932173,50,150,nan,1,4
11,-209.9440549335119,-69.98135164450396,-69.98135164450396,-69.98135164450396,-69.98135164450396,50,150,nan,1,4
12,-106.56088916826643,-35.52029638942214,-35.52029638942214,-35.52029638942214,-35.52029638942214,50,150,nan,1,4
13,-96.09940537351072,-32.03313512450357,-32.03313512450357,-32.03313512450357,-32.03313512450357,50,150,nan,1,4
14,-93.83989199439483,-31.27996399813161,-31.27996399813161,-31.27996399813161,-31.27996399813161,50,150,nan,1,4
15,-200.93716994137986,-66.97905664712663,-66.97905664712663,-66.97905664712663,-66.97905664712663,50,150,nan,1,4
16,-101.8768211866001,-33.95894039553337,-33.95894039553337,-33.95894039553337,-33.95894039553337,50,150,nan,1,4
17,-85.3126005523389,-28.4375335174463,-28.4375335174463,-28.4375335174463,-28.4375335174463,50,150,nan,1,4
18,-193.70455260657562,-64.56818420219187,-64.56818420219187,-64.56818420219187,-64.56818420219187,50,150,nan,1,4
19,-177.4832994560491,-59.161099818683034,-59.161099818683034,-59.161099818683034,-59.161099818683034,50,150,nan,1,4
20,-151.51495997514417,-50.50498665838139,-50.504986658381384,-50.504986658381384,-50.504986658381384,50,150,nan,1,4
21,-121.254472813418,-40.41815760447267,-40.41815760447267,-40.41815760447267,-40.41815760447267,50,150,nan,1,4
22,-100.58071803623497,-33.52690601207832,-33.52690601207832,-33.52690601207832,-33.52690601207832,50,150,nan,1,4
23,-174.34762366816742,-58.11587455605581,-57.78254122272247,-58.28254122272247,-58.28254122272247,50,150,nan,1,4
24,-267.16685452173937,-89.05561817391312,-89.05561817391312,-89.05561817391312,-89.05561817391312,50,150,nan,1,4
25,-52.706611644690625,-17.56887054823021,-17.56887054823021,-17.56887054823021,-17.56887054823021,50,150,nan,1,4
26,-168.91580165841583,-56.30526721947194,-56.30526721947194,-56.30526721947194,-56.30526721947194,50,150,nan,1,4
27,-139.72099928895102,-46.57366642965034,-46.573666429650345,-46.573666429650345,-46.573666429650345,50,150,nan,1,4
28,-128.28874214429635,-42.762914048098786,-42.762914048098786,-42.762914048098786,-42.762914048098786,50,150,nan,1,4
29,-109.25925496798865,-36.419751655996215,-36.419751655996215,-36.419751655996215,-36.419751655996215,50,150,nan,1,4
30,-210.78401915000046,-70.26133971666682,-70.26133971666682,-70.26133971666682,-70.26133971666682,50,150,nan,1,4
31,-156.59689001826743,-52.19896333942248,-52.19896333942248,-52.19896333942248,-52.19896333942248,50,150,nan,1,4
32,-144.12165192403637,-48.040550641345455,-48.040550641345455,-48.040550641345455,-48.040550641345455,50,150,nan,1,4
33,-154.91561335357528,-51.63853778452509,-51.63853778452509,-51.63853778452509,-51.63853778452509,50,150,nan,1,4
34,-173.31193514291556,-57.77064504763852,-57.77064504763852,-57.77064504763852,-57.77064504763852,50,150,nan,1,4
35,-120.85328517968742,-40.28442839322914,-40.28442839322914,-40.28442839322914,-40.28442839322914,50,150,nan,1,4
36,-176.24737448768536,-58.74912482922846,-58.74912482922846,-58.74912482922846,-58.74912482922846,50,150,nan,1,4
37,-121.73887149301817,-40.57962383100605,-40.57962383100605,-40.57962383100605,-40.57962383100605,50,150,nan,1,4
38,-103.28267599878072,-34.42755866626024,-34.42755866626024,-34.42755866626024,-34.42755866626024,50,150,nan,1,4
39,-210.160878253587,-70.053626084529,-70.053626084529,-70.053626084529,-70.053626084529,50,150,nan,1,4
40,-143.6790006006465,-47.8930002002155,-47.8930002002155,-47.8930002002155,-47.8930002002155,50,150,nan,1,4
41,-140.85159467480148,-46.95053155826716,-46.95053155826716,-46.95053155826716,-46.95053155826716,50,150,nan,1,4
42,-181.8910973492931,-60.630365783097695,-60.6303657830977,-60.6303657830977,-60.6303657830977,50,150,nan,1,4
43,-197.64137738008603,-65.88045912669534,-65.88045912669534,-65.88045912669534,-65.88045912669534,50,150,nan,1,4
44,-74.9629654413308,-24.987655147110264,-24.987655147110264,-24.987655147110264,-24.987655147110264,50,150,nan,1,4
