episode,return_sum,return_mean,reward_a0,reward_a1,reward_a2,steps,msgs_per_ep,msg_entropy_ep,pct_comm_on,avg_pair_dist
1,-489.23712876774454,-163.0790429225815,-163.57904292258152,-162.0790429225815,-163.57904292258152,100,300,1.3862911581993103,1.0,2.185689313759406
2,-203.2156612228278,-67.7385537409426,-66.73855374094259,-68.2385537409426,-68.2385537409426,100,300,1.386291025876999,1.0,1.3086742024123672
3,-417.0164591304182,-139.00548637680606,-139.67215304347272,-137.67215304347272,-139.67215304347272,100,300,1.3862890231609344,1.0,1.8601877713700137
4,-904.8073672322,-301.6024557440667,-301.76912241073336,-301.26912241073336,-301.76912241073336,100,300,1.3862868630886078,1.0,3.299163167203466
5,-449.31539762899206,-149.771799209664,-149.771799209664,-149.771799209664,-149.771799209664,100,300,1.3862889301776886,1.0,1.4260668800274532
6,-432.2641349266395,-144.0880449755465,-143.92137830887984,-144.92137830887984,-143.4213783088798,100,300,1.3862850344181061,1.0,2.4897049037118753
7,-420.0714833630647,-140.02382778768825,-140.1904944543549,-140.1904944543549,-139.6904944543549,100,300,1.3862884938716888,1.0,3.4043711436291533
8,-357.1261984635894,-119.04206615452979,-119.87539948786312,-119.87539948786312,-117.37539948786312,100,300,1.3862905025482177,1.0,1.322139453291893
9,-597.8281499531129,-199.27604998437096,-199.77604998437096,-198.27604998437099,-199.77604998437096,100,300,1.3862888729572296,1.0,2.0197167439758776
10,-309.0304458991798,-103.01014863305994,-103.01014863305994,-103.01014863305994,-103.01014863305994,100,300,1.3862894427776338,1.0,1.6411087042093278
11,-443.68971375587216,-147.8965712519574,-147.72990458529074,-147.72990458529074,-148.2299045852907,100,300,1.3862904989719391,1.0,1.4045075657963753
12,-514.5915357643809,-171.5305119214603,-171.19717858812695,-171.69717858812695,-171.69717858812695,100,300,1.3862891757488252,1.0,1.250078652103742
13,-277.34253995539325,-92.44751331846442,-92.78084665179775,-91.78084665179775,-92.78084665179775,100,300,1.3862913382053375,1.0,1.7320882351199784
14,-290.90360019941465,-96.96786673313822,-97.46786673313822,-95.96786673313822,-97.46786673313822,100,300,1.3862903213500977,1.0,1.6558516531685987
15,-255.1328443467994,-85.04428144893313,-85.04428144893313,-85.04428144893313,-85.04428144893313,100,300,1.3862896573543548,1.0,1.5728585675358775
16,-453.1860136644103,-151.06200455480345,-151.06200455480345,-151.06200455480345,-151.06200455480345,100,300,1.3862894999980926,1.0,1.9452881190180777
17,-393.6274431883761,-131.2091477294587,-131.2091477294587,-131.2091477294587,-131.2091477294587,100,300,1.386289188861847,1.0,1.633648753464222
18,-361.2056208594378,-120.40187361981259,-120.40187361981259,-120.40187361981259,-120.40187361981259,100,300,1.3862874114513397,1.0,2.5765249665578205
19,-266.21698272405547,-88.73899424135182,-88.23899424135183,-88.23899424135183,-89.73899424135183,100,300,1.3862925374507904,1.0,1.0309953826169171
20,-197.09749886287352,-65.69916628762451,-66.19916628762451,-64.69916628762451,-66.19916628762451,100,300,1.3862887465953826,1.0,1.4472530172765259
21,-233.2952885786587,-77.76509619288623,-77.76509619288623,-77.76509619288623,-77.76509619288623,100,300,1.3862908470630646,1.0,1.751049973368645
22,-214.19304426236914,-71.39768142078971,-71.39768142078971,-71.39768142078971,-71.39768142078971,100,300,1.3862913393974303,1.0,1.5974475752313932
23,-244.03939066118568,-81.34646355372855,-81.34646355372855,-81.34646355372855,-81.34646355372855,100,300,1.3862903463840484,1.0,1.4722313968340552
24,-323.70291872577013,-107.90097290859005,-108.23430624192339,-107.23430624192338,-108.23430624192339,100,300,1.3862901198863984,1.0,1.974478464623292
25,-312.9138210897082,-104.30460702990274,-103.30460702990274,-104.80460702990275,-104.80460702990275,100,300,1.386290043592453,1.0,1.458927640020847
26,-506.13594651486494,-168.71198217162166,-168.21198217162166,-168.21198217162166,-169.71198217162163,100,300,1.3862886810302735,1.0,2.5125010537604493
