episode,return_sum,return_mean,reward_a0,reward_a1,reward_a2,steps,msgs_per_ep,msg_entropy_ep,pct_comm_on,avg_pair_dist
1,-490.9355318898155,-163.64517729660517,-164.14517729660517,-162.64517729660517,-164.14517729660517,100,0,1.3862912130355836,0.0,2.1873654292523863
2,-203.0762094710799,-67.6920698236933,-66.69206982369329,-68.1920698236933,-68.1920698236933,100,279,1.386291072368622,0.93,1.30908672640721
3,-416.8562987718509,-138.95209959061697,-139.61876625728362,-137.61876625728362,-139.61876625728362,100,24,1.3862897896766662,0.08,1.8609527415533862
4,-904.6407342310288,-301.54691141034294,-301.7135780770096,-301.2135780770096,-301.7135780770096,100,0,1.386286300420761,0.0,3.2986196882774435
5,-449.8670129027547,-149.9556709675849,-149.9556709675849,-149.9556709675849,-149.9556709675849,100,24,1.3862893378734589,0.08,1.4232639254132906
6,-432.26591962126895,-144.0886398737563,-143.92197320708965,-144.92197320708965,-143.42197320708962,100,279,1.3862850654125214,0.93,2.4897109786172713
7,-420.91157190878164,-140.3038573029272,-140.47052396959387,-140.47052396959387,-139.97052396959387,100,0,1.3862877357006074,0.0,3.4061727277934546
8,-357.13974058103076,-119.04658019367692,-119.87991352701026,-119.87991352701026,-117.37991352701026,100,237,1.3862905859947205,0.79,1.3221272962788737
9,-598.2696539438457,-199.4232179812819,-199.9232179812819,-198.4232179812819,-199.9232179812819,100,66,1.3862885272502898,0.22,2.0196784209708376
10,-309.07495444972477,-103.02498481657493,-103.02498481657493,-103.02498481657493,-103.02498481657493,100,267,1.3862895596027374,0.89,1.6408560039599738
11,-443.19391817006317,-147.7313060566877,-147.56463939002106,-147.56463939002106,-148.06463939002106,100,36,1.3862907111644744,0.12,1.4036101690928142
12,-513.4800614010478,-171.16002046701593,-170.82668713368258,-171.32668713368258,-171.32668713368258,100,123,1.3862889039516448,0.41,1.2527312497297922
13,-277.3279371785566,-92.44264572618555,-92.77597905951887,-91.77597905951887,-92.77597905951887,100,180,1.386291468143463,0.6,1.7320837733149532
14,-291.0942070353697,-97.03140234512324,-97.53140234512323,-96.03140234512325,-97.53140234512323,100,270,1.3862903499603272,0.9,1.6570671238501864
15,-254.79658927122856,-84.93219642374285,-84.93219642374285,-84.93219642374285,-84.93219642374285,100,33,1.386290352344513,0.11,1.5710698536038399
16,-453.59562499607136,-151.1985416653571,-151.1985416653571,-151.1985416653571,-151.1985416653571,100,0,1.386288937330246,0.0,1.9441898044943806
17,-394.3416289071261,-131.4472096357087,-131.4472096357087,-131.4472096357087,-131.4472096357087,100,0,1.3862889218330383,0.0,1.634155516723792
18,-361.2891881083382,-120.42972936944606,-120.42972936944605,-120.42972936944605,-120.42972936944605,100,78,1.386287626028061,0.26,2.5760398395856225
19,-266.19271460923306,-88.73090486974435,-88.23090486974435,-88.23090486974435,-89.73090486974435,100,225,1.3862925958633423,0.75,1.031167118002971
20,-198.2564175309091,-66.08547251030302,-66.58547251030303,-65.08547251030302,-66.58547251030303,100,0,1.3862899076938628,0.0,1.4477680853754282
21,-233.20117665294453,-77.7337255509815,-77.7337255509815,-77.7337255509815,-77.7337255509815,100,105,1.3862906622886657,0.35,1.7506158681710557
22,-214.2121815675676,-71.40406052252253,-71.40406052252253,-71.40406052252253,-71.40406052252253,100,198,1.3862915062904357,0.66,1.5974947330355642
23,-244.46822466670426,-81.48940822223476,-81.48940822223476,-81.48940822223476,-81.48940822223476,100,246,1.3862904810905456,0.82,1.4724400780598321
24,-323.4578957486409,-107.81929858288031,-108.15263191621364,-107.15263191621364,-108.15263191621364,100,243,1.386290225982666,0.81,1.9736737913886708
25,-313.34165310836835,-104.44721770278944,-103.44721770278944,-104.94721770278944,-104.94721770278944,100,156,1.386289963722229,0.52,1.4599933631221456
26,-506.14920927870793,-168.71640309290265,-168.21640309290265,-168.21640309290265,-169.71640309290262,100,264,1.3862887144088745,0.88,2.5124789960682397
27,-233.2804072460466,-77.7601357486822,-78.42680241534886,-77.92680241534886,-76.92680241534886,100,39,1.386291754245758,0.13,1.4790421437720456
28,-429.07412606276785,-143.02470868758928,-143.52470868758928,-143.52470868758928,-142.02470868758928,100,264,1.3862874591350556,0.88,1.657597473710775
29,-274.33678762463063,-91.44559587487687,-91.94559587487687,-91.94559587487687,-90.44559587487687,100,216,1.3862885236740112,0.72,1.7529885758956272
30,-348.75615482247747,-116.25205160749249,-116.25205160749249,-116.25205160749249,-116.25205160749249,100,87,1.3862928998470307,0.29,1.269447006682555
31,-278.25823303161167,-92.75274434387056,-92.75274434387055,-92.75274434387055,-92.75274434387055,100,264,1.3862891685962677,0.88,2.0527566343545915
32,-415.99308869591874,-138.66436289863958,-139.16436289863958,-139.16436289863958,-137.66436289863958,100,39,1.3862909770011902,0.13,1.3227628337840238
33,-335.4311759105278,-111.81039197017594,-111.81039197017594,-111.81039197017594,-111.81039197017594,100,24,1.386291937828064,0.08,1.7413443692525226
34,-377.9707523056404,-125.9902507685468,-125.9902507685468,-125.9902507685468,-125.9902507685468,100,279,1.386289268732071,0.93,2.3254513218005504
35,-359.6568566654405,-119.88561888848017,-119.38561888848015,-119.38561888848017,-120.88561888848015,100,261,1.3862922966480256,0.87,1.8489369180301825
36,-363.04299440362763,-121.01433146787588,-121.18099813454255,-121.18099813454255,-120.68099813454255,100,180,1.3862912809848786,0.6,1.40275042484204
