episode,return_sum,return_mean,reward_a0,reward_a1,reward_a2,steps,msgs_per_ep,msg_entropy_ep,pct_comm_on,avg_pair_dist
1,-490.1495047036368,-163.3831682345456,-163.8831682345456,-162.3831682345456,-163.8831682345456,100,159,1.3862911880016326,0.53,2.1867008806268378
2,-202.4139179179693,-67.47130597265642,-66.47130597265642,-67.97130597265642,-67.97130597265642,100,147,1.3862914836406708,0.49,1.3094508036971093
3,-416.66824335893466,-138.88941445297823,-139.5560811196449,-137.5560811196449,-139.5560811196449,100,126,1.3862895154953003,0.42,1.8594467100004355
4,-904.6142330606847,-301.5380776868949,-301.7047443535616,-301.2047443535616,-301.7047443535616,100,147,1.3862865340709687,0.49,3.299680317367117
5,-449.527651859422,-149.84255061980733,-149.84255061980733,-149.84255061980733,-149.84255061980733,100,144,1.3862891566753388,0.48,1.4254990681012472
6,-432.2870394333228,-144.0956798111076,-143.92901314444094,-144.92901314444094,-143.42901314444092,100,141,1.386285434961319,0.47,2.48345851307114
7,-420.31613150565033,-140.10537716855012,-140.27204383521678,-140.27204383521678,-139.77204383521678,100,180,1.386288161277771,0.6,3.40477903649211
8,-357.00195666385264,-119.00065222128421,-119.83398555461754,-119.83398555461754,-117.33398555461756,100,132,1.3862905812263489,0.44,1.323658550679684
9,-598.0801640228381,-199.36005467427935,-199.86005467427935,-198.36005467427935,-199.86005467427935,100,171,1.386288720369339,0.57,2.019687822262446
10,-308.9464752810699,-102.98215842702331,-102.98215842702331,-102.98215842702331,-102.98215842702331,100,162,1.3862898647785187,0.54,1.6402672543128332
11,-443.4987508643884,-147.83291695479613,-147.66625028812948,-147.66625028812948,-148.16625028812948,100,141,1.3862906634807586,0.47,1.4052945165832837
12,-513.8979768822758,-171.29932562742525,-170.9659922940919,-171.4659922940919,-171.4659922940919,100,114,1.3862889540195464,0.38,1.2520092246929804
13,-276.9808937703373,-92.32696459011242,-92.66029792344577,-91.66029792344577,-92.66029792344577,100,174,1.386291548013687,0.58,1.7331027868390083
